DATE	IC4WSA	ICNSA	ICSA
1973-08-11	253000	238000	265000
1973-08-18	257250	207000	258000
1973-08-25	258250	190000	254000
1973-09-01	254750	180000	242000
1973-09-08	251500	177000	252000
1973-09-15	248250	186000	245000
1973-09-22	246250	187000	246000
1973-09-29	248000	191000	249000
1973-10-06	244000	210000	236000
1973-10-13	244250	207000	246000
1973-10-20	245000	208000	249000
1973-10-27	241500	200000	235000
1973-11-03	244000	230000	246000
1973-11-10	253000	277000	282000
1973-11-17	254250	261000	254000
1973-11-24	253750	237000	233000
1973-12-01	256250	299000	256000
1973-12-08	252250	345000	266000
1973-12-15	256750	340000	272000
1973-12-22	280000	429000	326000
1973-12-29	291000	461000	300000
1974-01-05	291750	405000	269000
1974-01-12	308750	584000	340000
1974-01-19	307500	465000	321000
1974-01-26	305250	373000	291000
1974-02-02	313500	381000	302000
1974-02-09	320750	459000	369000
1974-02-16	318250	352000	311000
1974-02-23	318500	296000	292000
1974-03-02	318250	313000	301000
1974-03-09	302250	310000	305000
1974-03-16	303250	293000	315000
1974-03-23	308750	285000	314000
1974-03-30	314250	279000	323000
1974-04-06	312000	288000	296000
1974-04-13	307500	278000	297000
1974-04-20	303000	256000	296000
1974-04-27	293000	235000	283000
1974-05-04	290750	243000	287000
1974-05-11	290500	249000	296000
1974-05-18	291000	238000	298000
1974-05-25	297500	246000	309000
1974-06-01	295250	209000	278000
1974-06-08	299750	267000	314000
1974-06-15	301000	255000	303000
1974-06-22	300750	266000	308000
1974-06-29	312500	285000	325000
1974-07-06	311750	350000	311000
1974-07-13	312000	351000	304000
1974-07-20	310750	325000	303000
1974-07-27	309500	333000	320000
1974-08-03	315500	340000	335000
1974-08-10	326250	318000	347000
1974-08-17	333500	269000	332000
1974-08-24	339250	260000	343000
1974-08-31	343000	259000	350000
1974-09-07	343750	253000	350000
1974-09-14	350000	271000	357000
1974-09-21	356750	283000	370000
1974-09-28	360750	279000	366000
1974-10-05	366000	325000	371000
1974-10-12	380000	358000	413000
1974-10-19	384750	324000	389000
1974-10-26	396750	357000	414000
1974-11-02	405500	375000	406000
1974-11-09	412500	435000	441000
1974-11-16	427500	450000	449000
1974-11-23	453500	532000	518000
1974-11-30	470500	524000	474000
1974-12-07	492250	693000	528000
1974-12-14	507500	637000	510000
1974-12-21	508250	677000	521000
1974-12-28	524000	813000	537000
1975-01-04	506000	681000	456000
1975-01-11	517000	969000	554000
1975-01-18	530500	850000	575000
1975-01-25	535000	729000	555000
1975-02-01	560750	699000	559000
1975-02-08	558500	691000	545000
1975-02-15	547250	608000	530000
1975-02-22	544500	567000	544000
1975-03-01	541250	568000	546000
1975-03-08	542750	569000	551000
1975-03-15	543000	494000	531000
1975-03-22	544500	499000	550000
1975-03-29	546750	477000	555000
1975-04-05	543250	505000	537000
1975-04-12	540500	496000	520000
1975-04-19	535750	456000	531000
1975-04-26	525250	429000	513000
1975-05-03	517250	420000	505000
1975-05-10	514000	432000	507000
1975-05-17	509750	410000	514000
1975-05-24	504750	391000	493000
1975-05-31	497250	360000	475000
1975-06-07	502750	443000	529000
1975-06-14	498500	422000	497000
1975-06-21	499500	428000	497000
1975-06-28	495500	407000	459000
1975-07-05	469000	460000	423000
1975-07-12	456250	517000	446000
1975-07-19	443250	481000	445000
1975-07-26	442000	471000	454000
1975-08-02	449750	462000	454000
1975-08-09	453000	429000	459000
1975-08-16	452750	367000	444000
1975-08-23	453500	353000	457000
1975-08-30	451500	332000	446000
1975-09-06	448500	331000	447000
1975-09-13	451500	341000	456000
1975-09-20	445500	336000	433000
1975-09-27	445250	342000	445000
1975-10-04	440000	365000	426000
1975-10-11	433250	385000	429000
1975-10-18	426000	332000	404000
1975-10-25	421250	372000	426000
1975-11-01	418250	378000	414000
1975-11-08	414750	414000	415000
1975-11-15	410250	371000	386000
1975-11-22	404000	419000	401000
1975-11-29	397250	403000	387000
1975-12-06	386750	487000	373000
1975-12-13	382250	456000	368000
1975-12-20	373250	463000	365000
1975-12-27	374250	573000	391000
1976-01-03	371500	540000	362000
1976-01-10	380000	708000	402000
1976-01-17	381250	563000	370000
1976-01-24	374250	486000	363000
1976-01-31	373500	450000	359000
1976-02-07	361250	452000	353000
1976-02-14	354750	391000	344000
1976-02-21	350750	367000	347000
1976-02-28	348250	353000	349000
1976-03-06	347000	366000	348000
1976-03-13	351000	343000	360000
1976-03-20	356250	330000	368000
1976-03-27	360500	314000	366000
1976-04-03	368500	334000	380000
1976-04-10	371750	366000	373000
1976-04-17	370000	316000	361000
1976-04-24	370250	311000	367000
1976-05-01	371500	313000	385000
1976-05-08	377000	345000	395000
1976-05-15	382250	308000	382000
1976-05-22	389000	311000	394000
1976-05-29	393250	310000	402000
1976-06-05	390000	307000	382000
1976-06-12	396250	351000	407000
1976-06-19	397500	342000	399000
1976-06-26	393750	339000	387000
1976-07-03	396750	401000	394000
1976-07-10	388000	445000	372000
1976-07-17	389750	455000	406000
1976-07-24	391500	418000	394000
1976-07-31	390000	401000	388000
1976-08-07	391500	373000	378000
1976-08-14	385500	329000	382000
1976-08-21	387000	320000	400000
1976-08-28	388500	301000	394000
1976-09-04	399250	321000	421000
1976-09-11	399500	280000	383000
1976-09-18	400250	320000	403000
1976-09-25	407500	327000	423000
1976-10-02	404250	332000	408000
1976-10-09	411250	388000	411000
1976-10-16	411250	325000	403000
1976-10-23	407750	361000	409000
1976-10-30	409250	370000	414000
1976-11-06	404000	387000	390000
1976-11-13	399000	363000	383000
1976-11-20	398750	430000	408000
1976-11-27	389500	369000	377000
1976-12-04	392500	500000	402000
1976-12-11	395500	494000	395000
1976-12-18	384750	434000	365000
1976-12-25	373750	466000	333000
1977-01-01	368250	558000	380000
1977-01-08	373500	685000	416000
1977-01-15	374250	597000	368000
1977-01-22	396750	589000	423000
1977-01-29	407250	518000	422000
1977-02-05	444500	704000	565000
1977-02-12	471750	552000	477000
1977-02-19	465750	422000	399000
1977-02-26	450750	360000	362000
1977-03-05	399750	367000	361000
1977-03-12	369250	335000	355000
1977-03-19	361750	321000	369000
1977-03-26	360250	298000	356000
1977-04-02	357500	296000	350000
1977-04-09	362750	367000	376000
1977-04-16	360750	316000	361000
1977-04-23	365500	314000	375000
1977-04-30	371750	305000	375000
1977-05-07	373750	333000	384000
1977-05-14	378750	309000	381000
1977-05-21	378750	293000	375000
1977-05-28	380250	298000	381000
1977-06-04	375000	283000	363000
1977-06-11	369250	308000	358000
1977-06-18	365250	310000	359000
1977-06-25	361250	321000	365000
1977-07-02	358000	348000	350000
1977-07-09	358750	431000	361000
1977-07-16	360500	424000	366000
1977-07-23	360500	391000	365000
1977-07-30	364250	380000	365000
1977-08-06	368500	379000	378000
1977-08-13	366750	319000	359000
1977-08-20	367250	298000	367000
1977-08-27	367250	282000	365000
1977-09-03	366250	289000	374000
1977-09-10	366250	260000	359000
1977-09-17	365000	289000	362000
1977-09-24	368750	293000	380000
1977-10-01	362250	275000	348000
1977-10-08	363750	345000	365000
1977-10-15	362750	287000	358000
1977-10-22	361500	322000	375000
1977-10-29	361750	309000	349000
1977-11-05	362000	352000	366000
1977-11-12	356000	310000	334000
1977-11-19	352250	367000	360000
1977-11-26	353500	342000	354000
1977-12-03	353750	430000	367000
1977-12-10	361250	448000	364000
1977-12-17	361000	412000	359000
1977-12-24	358500	450000	344000
1977-12-31	357750	535000	364000
1978-01-07	353250	559000	346000
1978-01-14	349250	579000	343000
