DATE	TREAST	WALCL
2010-08-18	779549	2313662
2010-08-25	784498	2301015
2010-09-01	786283	2301996
2010-09-08	789894	2305802
2010-09-15	794646	2296079
2010-09-22	805107	2307171
2010-09-29	811669	2298691
2010-10-06	819072	2308092
2010-10-13	821156	2309885
2010-10-20	832121	2305227
2010-10-27	837848	2295392
2010-11-03	842008	2300353
2010-11-10	853041	2312768
2010-11-17	873618	2314757
2010-11-24	901238	2346001
2010-12-01	917451	2346920
2010-12-08	949612	2382294
2010-12-15	967553	2385754
2010-12-22	1007237	2427921
2010-12-29	1016102	2420570
2011-01-05	1030985	2436064
2011-01-12	1062061	2468131
2011-01-19	1079578	2425164
2011-01-26	1114448	2443527
2011-02-02	1138166	2469419
2011-02-09	1167087	2500481
2011-02-16	1190341	2508868
2011-02-23	1213425	2533221
2011-03-02	1236258	2545119
2011-03-09	1266069	2577076
2011-03-16	1280386	2583046
2011-03-23	1305239	2601341
2011-03-30	1333445	2622523
2011-04-06	1358207	2648676
2011-04-13	1374695	2665408
2011-04-20	1402494	2685782
2011-04-27	1413467	2690985
2011-05-04	1441855	2718757
2011-05-11	1466209	2744498
2011-05-18	1495166	2758009
2011-05-25	1519327	2774996
2011-06-01	1532236	2788723
2011-06-08	1554660	2811206
2011-06-15	1575939	2827549
2011-06-22	1601963	2856403
2011-06-29	1617060	2865251
2011-07-06	1624515	2870103
2011-07-13	1630414	2878074
2011-07-20	1634093	2871301
2011-07-27	1638161	2863576
2011-08-03	1640919	2867215
2011-08-10	1644743	2872423
2011-08-17	1647633	2857906
2011-08-24	1648435	2859433
2011-08-31	1652113	2853888
2011-09-07	1655599	2858660
2011-09-14	1658960	2863540
2011-09-21	1663105	2857747
2011-09-28	1664655	2850921
2011-10-05	1671784	2859701
2011-10-12	1668766	2860822
2011-10-19	1670256	2852390
2011-10-26	1678012	2845685
2011-11-02	1654195	2822034
2011-11-09	1668111	2839786
2011-11-16	1675836	2831576
2011-11-23	1664795	2821980
2011-11-30	1672038	2814235
2011-12-07	1675034	2820691
2011-12-14	1673475	2902488
2011-12-21	1684249	2916085
2011-12-28	1672092	2926095
2012-01-04	1663438	2917689
2012-01-11	1650843	2899149
2012-01-18	1651506	2919423
2012-01-25	1661529	2919545
2012-02-01	1662459	2924947
2012-02-08	1660692	2928275
2012-02-15	1667071	2937893
2012-02-22	1656581	2932813
2012-02-29	1661601	2925722
2012-03-07	1659279	2884747
2012-03-14	1659768	2893560
2012-03-21	1663484	2892646
2012-03-28	1664911	2878137
2012-04-04	1669371	2865478
2012-04-11	1681093	2867200
2012-04-18	1672141	2875470
2012-04-25	1667766	2866561
2012-05-02	1667630	2864280
2012-05-09	1665939	2864150
2012-05-16	1656793	2850984
2012-05-23	1656824	2859495
2012-05-30	1656675	2842654
2012-06-06	1664292	2852018
2012-06-13	1660158	2869071
2012-06-20	1663577	2870846
2012-06-27	1666530	2863547
2012-07-04	1666375	2865858
2012-07-11	1662637	2866279
2012-07-18	1648694	2855807
2012-07-25	1651432	2846757
2012-08-01	1649294	2851118
2012-08-08	1652416	2856181
2012-08-15	1646360	2833317
2012-08-22	1637152	2825661
2012-08-29	1639413	2812806
2012-09-05	1648862	2822169
2012-09-12	1650851	2823448
2012-09-19	1646098	2821574
2012-09-26	1648403	2804457
2012-10-03	1652944	2808512
2012-10-10	1653737	2811623
2012-10-17	1659084	2846920
2012-10-24	1646524	2840964
2012-10-31	1645334	2823137
2012-11-07	1651289	2830791
2012-11-14	1656833	2877244
2012-11-21	1650489	2871161
2012-11-28	1646645	2851362
2012-12-05	1653593	2859807
2012-12-12	1660807	2917260
2012-12-19	1658851	2920231
2012-12-26	1656930	2907300
2013-01-02	1666118	2917189
2013-01-09	1676307	2928728
2013-01-16	1688886	2963812
2013-01-23	1696691	3011697
2013-01-30	1710058	3008704
2013-02-06	1717182	3014975
2013-02-13	1728477	3074225
2013-02-20	1736456	3095150
2013-02-27	1749545	3090600
2013-03-06	1761763	3108805
2013-03-13	1769987	3165396
2013-03-20	1784652	3206888
2013-03-27	1794459	3202256
2013-04-03	1805639	3215432
2013-04-10	1814482	3227762
